#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 559    -6.042167   -0.15464579E+00
 560    -6.041167   -0.15491461E+00
 561    -6.040167   -0.15518416E+00
 562    -6.039167   -0.15545420E+00
 563    -6.038167   -0.15572450E+00
 564    -6.037167   -0.15599481E+00
 565    -6.036167   -0.15626490E+00
 566    -6.035167   -0.15653450E+00
 567    -6.034167   -0.15680336E+00
 568    -6.033167   -0.15707122E+00
 569    -6.032167   -0.15733780E+00
 570    -6.031167   -0.15760283E+00
 571    -6.030167   -0.15786604E+00
 572    -6.029167   -0.15812714E+00
 573    -6.028167   -0.15838585E+00
 574    -6.027167   -0.15864189E+00
 575    -6.026167   -0.15889497E+00
 576    -6.025167   -0.15914479E+00
 577    -6.024167   -0.15939108E+00
 578    -6.023167   -0.15963352E+00
 579    -6.022167   -0.15987184E+00
 580    -6.021167   -0.16010574E+00
 581    -6.020167   -0.16033493E+00
 582    -6.019167   -0.16055911E+00
 583    -6.018167   -0.16077800E+00
 584    -6.017167   -0.16099131E+00
 585    -6.016167   -0.16119875E+00
 586    -6.015167   -0.16140003E+00
 587    -6.014167   -0.16159487E+00
 588    -6.013167   -0.16178300E+00
 589    -6.012167   -0.16196414E+00
 590    -6.011167   -0.16213802E+00
 591    -6.010167   -0.16230436E+00
 592    -6.009167   -0.16246290E+00
 593    -6.008167   -0.16261339E+00
 594    -6.007167   -0.16275557E+00
 595    -6.006167   -0.16288919E+00
 596    -6.005167   -0.16301401E+00
 597    -6.004167   -0.16312979E+00
 598    -6.003167   -0.16323629E+00
 599    -6.002167   -0.16333330E+00
 600    -6.001167   -0.16342059E+00
 601    -6.000167   -0.16349795E+00
 602    -5.999167   -0.16356518E+00
 603    -5.998167   -0.16362207E+00
 604    -5.997167   -0.16366844E+00
 605    -5.996167   -0.16370411E+00
 606    -5.995167   -0.16372889E+00
 607    -5.994167   -0.16374262E+00
 608    -5.993167   -0.16374514E+00
 609    -5.992167   -0.16373630E+00
 610    -5.991167   -0.16371596E+00
 611    -5.990167   -0.16368398E+00
 612    -5.989167   -0.16364024E+00
 613    -5.988167   -0.16358462E+00
 614    -5.987167   -0.16351701E+00
 615    -5.986167   -0.16343730E+00
 616    -5.985167   -0.16334542E+00
 617    -5.984167   -0.16324127E+00
 618    -5.983167   -0.16312479E+00
 619    -5.982167   -0.16299591E+00
 620    -5.981167   -0.16285457E+00
 621    -5.980167   -0.16270073E+00
 622    -5.979167   -0.16253435E+00
 623    -5.978167   -0.16235541E+00
 624    -5.977167   -0.16216388E+00
 625    -5.976167   -0.16195975E+00
 626    -5.975167   -0.16174302E+00
 627    -5.974167   -0.16151371E+00
 628    -5.973167   -0.16127182E+00
 629    -5.972167   -0.16101738E+00
 630    -5.971167   -0.16075042E+00
 631    -5.970167   -0.16047099E+00
 632    -5.969167   -0.16017914E+00
 633    -5.968167   -0.15987492E+00
 634    -5.967167   -0.15955840E+00
 635    -5.966167   -0.15922967E+00
 636    -5.965167   -0.15888879E+00
 637    -5.964167   -0.15853587E+00
 638    -5.963167   -0.15817100E+00
